,stateProvince,normTitleCategory,estimatedSalary,Job Category Frequency,Index,estimatedSalary/Index
0,AK,accounting,67490.0,10,131.30000000000163,514.0137090632077
1,AK,admin,34445.23809523809,42,131.30000000000163,262.33997026075906
2,AK,arts,60933.333333333336,3,131.30000000000163,464.0771769484583
3,AK,aviation,58400.0,5,131.30000000000163,444.78293983243924
4,AK,childcare,27492.85714285714,14,131.30000000000163,209.38962028070677
5,AK,construction,41337.5,8,131.30000000000163,314.8324447829359
6,AK,customer,26790.909090909092,33,131.30000000000163,204.04348127120153
7,AK,driver,36328.57142857143,14,131.30000000000163,276.6837123272732
8,AK,education,44733.333333333336,15,131.30000000000163,340.6956080223365
9,AK,engchem,90700.0,1,131.30000000000163,690.7844630616822
10,AK,engcivil,75600.0,1,131.30000000000163,575.7806549885686
11,AK,engelectric,89000.0,1,131.30000000000163,677.8370144706694
12,AK,engid,40400.0,1,131.30000000000163,307.69230769230387
13,AK,finance,51200.0,2,131.30000000000163,389.9466869763851
14,AK,food,23780.0,20,131.30000000000163,181.11195734957886
15,AK,hr,53040.0,5,131.30000000000163,403.96039603959895
16,AK,install,39012.5,48,131.30000000000163,297.1249047981684
17,AK,insurance,40980.0,5,131.30000000000163,312.1096725057082
18,AK,management,56030.769230769234,39,131.30000000000163,426.7385318413445
19,AK,manufacturing,26958.333333333332,12,131.30000000000163,205.31860878395275
20,AK,meddental,38100.0,3,131.30000000000163,290.17517136328655
21,AK,meddr,136803.7037037037,27,131.30000000000163,1041.917012214029
22,AK,media,39000.0,1,131.30000000000163,297.02970297029333
23,AK,medinfo,35620.0,5,131.30000000000163,271.2871287128679
24,AK,mednurse,67868.51851851853,108,131.30000000000163,516.8965614510105
25,AK,medtech,50666.666666666664,27,131.30000000000163,385.88474232038106
26,AK,military,43800.0,2,131.30000000000163,333.5872048743294
27,AK,personal,36966.666666666664,3,131.30000000000163,281.543538969278
28,AK,pharmacy,65228.57142857143,7,131.30000000000163,496.7903383744906
29,AK,project,68325.0,8,131.30000000000163,520.373191165264
30,AK,protective,47710.0,10,131.30000000000163,363.3663366336589
31,AK,realestate,40000.0,1,131.30000000000163,304.64584920030086
32,AK,retail,27610.869565217392,46,131.30000000000163,210.28842014635984
33,AK,sales,41109.09090909091,22,131.30000000000163,313.09284774630925
34,AK,sanitation,22576.923076923078,13,131.30000000000163,171.9491475774775
